,year,month,day,hour,date,pm2.5,DEWP,TEMP,PRES,atm_pressure,cbwd,Iws,Is,Ir,Season,month_name,direction
36,2010,1,2,12,2010-01-02,148.0,-8,-5.0,1026.0,1.012662,SE,23.69,0,0,Winter,Jan,135
37,2010,1,2,13,2010-01-02,164.0,-8,-5.0,1025.0,1.011675,SE,27.71,0,0,Winter,Jan,135
38,2010,1,2,14,2010-01-02,158.0,-9,-5.0,1025.0,1.011675,SE,31.73,0,0,Winter,Jan,135
39,2010,1,2,15,2010-01-02,154.0,-9,-5.0,1025.0,1.011675,SE,35.75,0,0,Winter,Jan,135
40,2010,1,2,16,2010-01-02,159.0,-9,-5.0,1026.0,1.012662,SE,37.54,0,0,Winter,Jan,135
41,2010,1,2,17,2010-01-02,164.0,-8,-5.0,1027.0,1.013649,SE,39.33,0,0,Winter,Jan,135
42,2010,1,2,18,2010-01-02,170.0,-8,-5.0,1027.0,1.013649,SE,42.46,0,0,Winter,Jan,135
43,2010,1,2,19,2010-01-02,149.0,-8,-5.0,1028.0,1.014636,SE,44.25,0,0,Winter,Jan,135
44,2010,1,2,20,2010-01-02,154.0,-7,-5.0,1028.0,1.014636,SE,46.04,0,0,Winter,Jan,135
45,2010,1,2,21,2010-01-02,164.0,-7,-5.0,1027.0,1.013649,SE,49.17,1,0,Winter,Jan,135
46,2010,1,2,22,2010-01-02,156.0,-8,-6.0,1028.0,1.014636,SE,52.3,2,0,Winter,Jan,135
47,2010,1,2,23,2010-01-02,126.0,-8,-6.0,1027.0,1.013649,SE,55.43,3,0,Winter,Jan,135
48,2010,1,3,0,2010-01-03,90.0,-7,-6.0,1027.0,1.013649,SE,58.56,4,0,Winter,Jan,135
49,2010,1,3,1,2010-01-03,63.0,-8,-6.0,1026.0,1.012662,SE,61.69,5,0,Winter,Jan,135
50,2010,1,3,2,2010-01-03,65.0,-8,-7.0,1026.0,1.012662,SE,65.71,6,0,Winter,Jan,135
51,2010,1,3,3,2010-01-03,55.0,-8,-7.0,1025.0,1.011675,SE,68.84,7,0,Winter,Jan,135
52,2010,1,3,4,2010-01-03,65.0,-8,-7.0,1024.0,1.010688,SE,72.86,8,0,Winter,Jan,135
53,2010,1,3,5,2010-01-03,83.0,-9,-8.0,1024.0,1.010688,SE,76.88,9,0,Winter,Jan,135
54,2010,1,3,6,2010-01-03,91.0,-10,-8.0,1024.0,1.010688,SE,80.9,10,0,Winter,Jan,135
55,2010,1,3,7,2010-01-03,86.0,-10,-9.0,1024.0,1.010688,SE,84.92,11,0,Winter,Jan,135
56,2010,1,3,8,2010-01-03,82.0,-10,-9.0,1024.0,1.010688,SE,89.84,12,0,Winter,Jan,135
57,2010,1,3,9,2010-01-03,86.0,-11,-9.0,1023.0,1.009701,SE,93.86,13,0,Winter,Jan,135
58,2010,1,3,10,2010-01-03,78.0,-11,-9.0,1023.0,1.009701,SE,97.88,15,0,Winter,Jan,135
59,2010,1,3,11,2010-01-03,98.0,-11,-9.0,1022.0,1.008714,SE,102.8,16,0,Winter,Jan,135
60,2010,1,3,12,2010-01-03,107.0,-11,-9.0,1021.0,1.007727,SE,105.93,17,0,Winter,Jan,135
61,2010,1,3,13,2010-01-03,90.0,-11,-9.0,1020.0,1.00674,SE,111.74,19,0,Winter,Jan,135
62,2010,1,3,14,2010-01-03,96.0,-11,-9.0,1020.0,1.00674,SE,116.66,20,0,Winter,Jan,135
63,2010,1,3,15,2010-01-03,95.0,-11,-9.0,1020.0,1.00674,SE,121.58,21,0,Winter,Jan,135
64,2010,1,3,16,2010-01-03,86.0,-11,-9.0,1020.0,1.00674,SE,124.71,22,0,Winter,Jan,135
65,2010,1,3,17,2010-01-03,70.0,-11,-9.0,1020.0,1.00674,SE,127.84,23,0,Winter,Jan,135
66,2010,1,3,18,2010-01-03,61.0,-11,-9.0,1021.0,1.007727,SW,0.89,24,0,Winter,Jan,225
67,2010,1,3,19,2010-01-03,53.0,-11,-9.0,1022.0,1.008714,SW,1.78,25,0,Winter,Jan,225
68,2010,1,3,20,2010-01-03,71.0,-10,-9.0,1022.0,1.008714,NW,4.02,26,0,Winter,Jan,315
69,2010,1,3,21,2010-01-03,72.0,-11,-10.0,1023.0,1.009701,NW,7.15,27,0,Winter,Jan,315
70,2010,1,3,22,2010-01-03,76.0,-11,-9.0,1023.0,1.009701,NW,11.17,0,0,Winter,Jan,315
71,2010,1,3,23,2010-01-03,73.0,-12,-11.0,1023.0,1.009701,NW,14.3,0,0,Winter,Jan,315
72,2010,1,4,0,2010-01-04,79.0,-14,-12.0,1023.0,1.009701,NW,16.09,0,0,Winter,Jan,315
73,2010,1,4,1,2010-01-04,58.0,-16,-9.0,1023.0,1.009701,NW,21.9,0,0,Winter,Jan,315
74,2010,1,4,2,2010-01-04,25.0,-17,-10.0,1024.0,1.010688,NW,29.95,0,0,Winter,Jan,315
75,2010,1,4,3,2010-01-04,26.0,-18,-11.0,1024.0,1.010688,NW,39.78,0,0,Winter,Jan,315
76,2010,1,4,4,2010-01-04,28.0,-19,-11.0,1025.0,1.011675,NW,48.72,0,0,Winter,Jan,315
77,2010,1,4,5,2010-01-04,26.0,-20,-12.0,1026.0,1.012662,NW,55.87,0,0,Winter,Jan,315
78,2010,1,4,6,2010-01-04,20.0,-21,-12.0,1027.0,1.013649,NW,64.81,0,0,Winter,Jan,315
79,2010,1,4,7,2010-01-04,29.0,-21,-13.0,1027.0,1.013649,NW,73.75,0,0,Winter,Jan,315
80,2010,1,4,8,2010-01-04,26.0,-22,-13.0,1028.0,1.014636,NW,80.9,0,0,Winter,Jan,315
81,2010,1,4,9,2010-01-04,27.0,-22,-13.0,1029.0,1.015623,NW,90.73,0,0,Winter,Jan,315
82,2010,1,4,10,2010-01-04,27.0,-22,-12.0,1030.0,1.01661,NW,100.56,0,0,Winter,Jan,315
83,2010,1,4,11,2010-01-04,25.0,-23,-12.0,1031.0,1.017597,NW,108.61,0,0,Winter,Jan,315
84,2010,1,4,12,2010-01-04,29.0,-21,-11.0,1030.0,1.01661,NW,117.55,0,0,Winter,Jan,315
85,2010,1,4,13,2010-01-04,32.0,-20,-10.0,1030.0,1.01661,NW,127.38,0,0,Winter,Jan,315
86,2010,1,4,14,2010-01-04,28.0,-21,-10.0,1030.0,1.01661,NW,136.32,0,0,Winter,Jan,315
87,2010,1,4,15,2010-01-04,29.0,-21,-9.0,1030.0,1.01661,NW,145.26,0,0,Winter,Jan,315
88,2010,1,4,16,2010-01-04,30.0,-21,-9.0,1031.0,1.017597,NW,152.41,0,0,Winter,Jan,315
89,2010,1,4,17,2010-01-04,30.0,-20,-11.0,1032.0,1.018584,NW,159.56,0,0,Winter,Jan,315
90,2010,1,4,18,2010-01-04,28.0,-23,-11.0,1032.0,1.018584,NW,165.37,0,0,Winter,Jan,315
91,2010,1,4,19,2010-01-04,26.0,-21,-12.0,1033.0,1.019571,NW,171.18,0,0,Winter,Jan,315
92,2010,1,4,20,2010-01-04,31.0,-24,-12.0,1034.0,1.020558,NW,180.12,0,0,Winter,Jan,315
93,2010,1,4,21,2010-01-04,33.0,-24,-13.0,1034.0,1.020558,NW,187.27,0,0,Winter,Jan,315
94,2010,1,4,22,2010-01-04,29.0,-24,-13.0,1035.0,1.021545,NW,195.32,0,0,Winter,Jan,315
95,2010,1,4,23,2010-01-04,31.0,-26,-15.0,1035.0,1.021545,NW,198.45,0,0,Winter,Jan,315
96,2010,1,5,0,2010-01-05,30.0,-26,-17.0,1035.0,1.021545,NW,201.58,0,0,Winter,Jan,315
97,2010,1,5,1,2010-01-05,34.0,-26,-18.0,1035.0,1.021545,NW,205.6,0,0,Winter,Jan,315
98,2010,1,5,2,2010-01-05,27.0,-26,-19.0,1035.0,1.021545,NW,208.73,0,0,Winter,Jan,315
99,2010,1,5,3,2010-01-05,25.0,-27,-18.0,1035.0,1.021545,NW,213.65,0,0,Winter,Jan,315
100,2010,1,5,4,2010-01-05,28.0,-27,-19.0,1035.0,1.021545,NW,218.57,0,0,Winter,Jan,315
101,2010,1,5,5,2010-01-05,28.0,-27,-16.0,1034.0,1.020558,NE,4.92,0,0,Winter,Jan,45
102,2010,1,5,6,2010-01-05,27.0,-26,-16.0,1035.0,1.021545,NE,8.05,0,0,Winter,Jan,45
103,2010,1,5,7,2010-01-05,27.0,-27,-16.0,1034.0,1.020558,NE,13.86,0,0,Winter,Jan,45
104,2010,1,5,8,2010-01-05,27.0,-26,-16.0,1035.0,1.021545,NE,18.78,0,0,Winter,Jan,45
105,2010,1,5,9,2010-01-05,29.0,-26,-15.0,1035.0,1.021545,NE,24.59,0,0,Winter,Jan,45
106,2010,1,5,10,2010-01-05,36.0,-25,-14.0,1035.0,1.021545,NE,29.51,0,0,Winter,Jan,45
107,2010,1,5,11,2010-01-05,30.0,-25,-13.0,1035.0,1.021545,NE,34.43,0,0,Winter,Jan,45
108,2010,1,5,12,2010-01-05,27.0,-25,-12.0,1034.0,1.020558,NE,39.35,0,0,Winter,Jan,45
109,2010,1,5,13,2010-01-05,39.0,-24,-11.0,1032.0,1.018584,NE,41.14,0,0,Winter,Jan,45
110,2010,1,5,14,2010-01-05,41.0,-22,-11.0,1032.0,1.018584,SW,0.89,0,0,Winter,Jan,225
111,2010,1,5,15,2010-01-05,33.0,-23,-11.0,1031.0,1.017597,NW,1.79,0,0,Winter,Jan,315
112,2010,1,5,16,2010-01-05,50.0,-24,-11.0,1031.0,1.017597,NW,3.58,0,0,Winter,Jan,315
113,2010,1,5,17,2010-01-05,56.0,-23,-11.0,1031.0,1.017597,NW,5.37,0,0,Winter,Jan,315
114,2010,1,5,18,2010-01-05,59.0,-23,-11.0,1032.0,1.018584,NW,7.16,0,0,Winter,Jan,315
115,2010,1,5,19,2010-01-05,60.0,-22,-13.0,1033.0,1.019571,NW,10.29,0,0,Winter,Jan,315
116,2010,1,5,20,2010-01-05,84.0,-22,-12.0,1033.0,1.019571,NW,13.42,0,0,Winter,Jan,315
117,2010,1,5,21,2010-01-05,106.0,-24,-18.0,1033.0,1.019571,NW,16.55,0,0,Winter,Jan,315
118,2010,1,5,22,2010-01-05,66.0,-22,-13.0,1034.0,1.020558,NW,20.57,0,0,Winter,Jan,315
119,2010,1,5,23,2010-01-05,50.0,-22,-16.0,1033.0,1.019571,NW,23.7,0,0,Winter,Jan,315
120,2010,1,6,0,2010-01-06,56.0,-25,-17.0,1033.0,1.019571,NW,26.83,0,0,Winter,Jan,315
121,2010,1,6,1,2010-01-06,77.0,-25,-14.0,1033.0,1.019571,NE,4.02,0,0,Winter,Jan,45
122,2010,1,6,2,2010-01-06,50.0,-26,-14.0,1034.0,1.020558,NE,8.04,0,0,Winter,Jan,45
123,2010,1,6,3,2010-01-06,44.0,-26,-14.0,1033.0,1.019571,NE,13.85,0,0,Winter,Jan,45
124,2010,1,6,4,2010-01-06,27.0,-26,-14.0,1033.0,1.019571,NE,17.87,0,0,Winter,Jan,45
125,2010,1,6,5,2010-01-06,28.0,-26,-14.0,1033.0,1.019571,NE,23.68,0,0,Winter,Jan,45
126,2010,1,6,6,2010-01-06,21.0,-26,-14.0,1033.0,1.019571,NE,28.6,0,0,Winter,Jan,45
127,2010,1,6,7,2010-01-06,25.0,-26,-15.0,1034.0,1.020558,NE,33.52,0,0,Winter,Jan,45
128,2010,1,6,8,2010-01-06,20.0,-26,-14.0,1034.0,1.020558,NE,39.33,0,0,Winter,Jan,45
129,2010,1,6,9,2010-01-06,29.0,-25,-13.0,1035.0,1.021545,NE,44.25,0,0,Winter,Jan,45
130,2010,1,6,10,2010-01-06,34.0,-25,-12.0,1035.0,1.021545,NE,50.06,0,0,Winter,Jan,45
131,2010,1,6,11,2010-01-06,42.0,-24,-11.0,1035.0,1.021545,NE,54.98,0,0,Winter,Jan,45
132,2010,1,6,12,2010-01-06,28.0,-24,-10.0,1034.0,1.020558,NE,59.0,0,0,Winter,Jan,45
133,2010,1,6,13,2010-01-06,36.0,-22,-10.0,1033.0,1.019571,NW,4.02,0,0,Winter,Jan,315
134,2010,1,6,14,2010-01-06,48.0,-22,-9.0,1033.0,1.019571,NW,5.81,0,0,Winter,Jan,315
135,2010,1,6,15,2010-01-06,49.0,-22,-8.0,1033.0,1.019571,SW,0.89,0,0,Winter,Jan,225
136,2010,1,6,16,2010-01-06,52.0,-22,-8.0,1033.0,1.019571,NW,1.79,0,0,Winter,Jan,315
137,2010,1,6,17,2010-01-06,56.0,-21,-9.0,1033.0,1.019571,NW,3.58,0,0,Winter,Jan,315
138,2010,1,6,18,2010-01-06,96.0,-22,-9.0,1033.0,1.019571,NW,5.37,0,0,Winter,Jan,315
139,2010,1,6,19,2010-01-06,75.0,-22,-14.0,1034.0,1.020558,SW,0.89,0,0,Winter,Jan,225
140,2010,1,6,20,2010-01-06,105.0,-22,-12.0,1035.0,1.021545,NW,1.79,0,0,Winter,Jan,315
141,2010,1,6,21,2010-01-06,132.0,-21,-14.0,1034.0,1.020558,NW,3.58,0,0,Winter,Jan,315
142,2010,1,6,22,2010-01-06,93.0,-22,-16.0,1035.0,1.021545,NW,5.37,0,0,Winter,Jan,315
143,2010,1,6,23,2010-01-06,131.0,-21,-16.0,1035.0,1.021545,NW,7.16,0,0,Winter,Jan,315
144,2010,1,7,0,2010-01-07,127.0,-21,-16.0,1035.0,1.021545,NW,8.95,0,0,Winter,Jan,315
145,2010,1,7,1,2010-01-07,130.0,-21,-16.0,1035.0,1.021545,SW,0.45,0,0,Winter,Jan,225
146,2010,1,7,2,2010-01-07,43.0,-22,-18.0,1036.0,1.022532,SW,1.34,0,0,Winter,Jan,225
147,2010,1,7,3,2010-01-07,37.0,-23,-15.0,1036.0,1.022532,NW,4.02,0,0,Winter,Jan,315
148,2010,1,7,4,2010-01-07,30.0,-24,-16.0,1035.0,1.021545,NW,7.15,0,0,Winter,Jan,315
149,2010,1,7,5,2010-01-07,28.0,-25,-15.0,1035.0,1.021545,NW,10.28,0,0,Winter,Jan,315
150,2010,1,7,6,2010-01-07,24.0,-24,-15.0,1035.0,1.021545,NW,14.3,0,0,Winter,Jan,315
151,2010,1,7,7,2010-01-07,23.0,-25,-13.0,1036.0,1.022532,NE,4.92,0,0,Winter,Jan,45
152,2010,1,7,8,2010-01-07,24.0,-24,-14.0,1036.0,1.022532,NW,4.02,0,0,Winter,Jan,315
153,2010,1,7,9,2010-01-07,27.0,-23,-12.0,1036.0,1.022532,NW,8.94,0,0,Winter,Jan,315
154,2010,1,7,10,2010-01-07,40.0,-22,-11.0,1036.0,1.022532,NW,12.96,0,0,Winter,Jan,315
155,2010,1,7,11,2010-01-07,42.0,-20,-10.0,1036.0,1.022532,NW,16.09,0,0,Winter,Jan,315
156,2010,1,7,12,2010-01-07,42.0,-21,-9.0,1035.0,1.021545,NW,19.22,0,0,Winter,Jan,315
157,2010,1,7,13,2010-01-07,55.0,-21,-8.0,1034.0,1.020558,NW,21.01,0,0,Winter,Jan,315
158,2010,1,7,14,2010-01-07,52.0,-20,-7.0,1033.0,1.019571,NW,22.8,0,0,Winter,Jan,315
159,2010,1,7,15,2010-01-07,51.0,-20,-7.0,1032.0,1.018584,NW,24.59,0,0,Winter,Jan,315
160,2010,1,7,16,2010-01-07,57.0,-18,-8.0,1032.0,1.018584,NW,26.38,0,0,Winter,Jan,315
161,2010,1,7,17,2010-01-07,50.0,-19,-9.0,1032.0,1.018584,NW,28.17,0,0,Winter,Jan,315
162,2010,1,7,18,2010-01-07,54.0,-19,-11.0,1032.0,1.018584,NE,0.89,0,0,Winter,Jan,45
163,2010,1,7,19,2010-01-07,67.0,-18,-11.0,1033.0,1.019571,NW,1.79,0,0,Winter,Jan,315
164,2010,1,7,20,2010-01-07,106.0,-19,-15.0,1032.0,1.018584,NE,1.79,0,0,Winter,Jan,45
165,2010,1,7,21,2010-01-07,159.0,-19,-14.0,1032.0,1.018584,SW,0.45,0,0,Winter,Jan,225
166,2010,1,7,22,2010-01-07,198.0,-21,-14.0,1032.0,1.018584,SW,1.34,0,0,Winter,Jan,225
167,2010,1,7,23,2010-01-07,190.0,-21,-16.0,1032.0,1.018584,SW,2.23,0,0,Winter,Jan,225
168,2010,1,8,0,2010-01-08,210.0,-21,-17.0,1031.0,1.017597,NW,1.79,0,0,Winter,Jan,315
169,2010,1,8,1,2010-01-08,195.0,-19,-16.0,1031.0,1.017597,NW,3.58,0,0,Winter,Jan,315
170,2010,1,8,2,2010-01-08,275.0,-20,-16.0,1031.0,1.017597,NE,0.89,0,0,Winter,Jan,45
171,2010,1,8,3,2010-01-08,164.0,-19,-15.0,1030.0,1.01661,SE,0.89,0,0,Winter,Jan,135
172,2010,1,8,4,2010-01-08,110.0,-18,-15.0,1030.0,1.01661,SW,0.45,0,0,Winter,Jan,225
173,2010,1,8,5,2010-01-08,100.0,-18,-15.0,1029.0,1.015623,SW,1.34,0,0,Winter,Jan,225
174,2010,1,8,6,2010-01-08,81.0,-18,-15.0,1029.0,1.015623,NW,1.79,0,0,Winter,Jan,315
175,2010,1,8,7,2010-01-08,71.0,-16,-13.0,1029.0,1.015623,NE,0.89,0,0,Winter,Jan,45
176,2010,1,8,8,2010-01-08,66.0,-16,-12.0,1029.0,1.015623,SE,0.89,0,0,Winter,Jan,135
177,2010,1,8,9,2010-01-08,92.0,-16,-12.0,1030.0,1.01661,SE,1.78,0,0,Winter,Jan,135
178,2010,1,8,10,2010-01-08,135.0,-17,-10.0,1030.0,1.01661,NE,0.89,0,0,Winter,Jan,45
179,2010,1,8,11,2010-01-08,155.0,-16,-10.0,1029.0,1.015623,SW,0.89,0,0,Winter,Jan,225
180,2010,1,8,12,2010-01-08,198.0,-16,-9.0,1028.0,1.014636,SE,3.13,0,0,Winter,Jan,135
181,2010,1,8,13,2010-01-08,250.0,-15,-8.0,1026.0,1.012662,SE,4.92,0,0,Winter,Jan,135
182,2010,1,8,14,2010-01-08,200.0,-16,-8.0,1026.0,1.012662,SW,0.89,0,0,Winter,Jan,225
183,2010,1,8,15,2010-01-08,231.0,-16,-8.0,1025.0,1.011675,SW,1.78,0,0,Winter,Jan,225
184,2010,1,8,16,2010-01-08,250.0,-16,-8.0,1025.0,1.011675,SW,2.67,0,0,Winter,Jan,225
185,2010,1,8,17,2010-01-08,212.0,-17,-8.0,1025.0,1.011675,SE,0.89,0,0,Winter,Jan,135
186,2010,1,8,18,2010-01-08,219.0,-17,-9.0,1026.0,1.012662,SW,0.45,0,0,Winter,Jan,225
187,2010,1,8,19,2010-01-08,227.0,-17,-11.0,1026.0,1.012662,SW,1.34,0,0,Winter,Jan,225
188,2010,1,8,20,2010-01-08,226.0,-17,-12.0,1026.0,1.012662,SW,1.79,0,0,Winter,Jan,225
189,2010,1,8,21,2010-01-08,225.0,-18,-14.0,1027.0,1.013649,NW,1.79,0,0,Winter,Jan,315
190,2010,1,8,22,2010-01-08,168.0,-16,-9.0,1027.0,1.013649,NW,4.92,0,0,Winter,Jan,315
191,2010,1,8,23,2010-01-08,169.0,-16,-11.0,1027.0,1.013649,NW,6.71,0,0,Winter,Jan,315
192,2010,1,9,0,2010-01-09,165.0,-17,-13.0,1027.0,1.013649,SW,0.89,0,0,Winter,Jan,225
193,2010,1,9,1,2010-01-09,159.0,-17,-13.0,1027.0,1.013649,NW,3.13,0,0,Winter,Jan,315
194,2010,1,9,2,2010-01-09,167.0,-17,-14.0,1027.0,1.013649,NW,4.92,0,0,Winter,Jan,315
195,2010,1,9,3,2010-01-09,196.0,-17,-15.0,1027.0,1.013649,NW,8.05,0,0,Winter,Jan,315
196,2010,1,9,4,2010-01-09,169.0,-17,-13.0,1027.0,1.013649,NW,9.84,0,0,Winter,Jan,315
197,2010,1,9,5,2010-01-09,155.0,-19,-16.0,1027.0,1.013649,NW,13.86,0,0,Winter,Jan,315
198,2010,1,9,6,2010-01-09,119.0,-18,-15.0,1027.0,1.013649,NW,17.88,0,0,Winter,Jan,315
199,2010,1,9,7,2010-01-09,106.0,-19,-15.0,1027.0,1.013649,NW,21.9,0,0,Winter,Jan,315
200,2010,1,9,8,2010-01-09,93.0,-18,-14.0,1028.0,1.014636,NW,25.92,0,0,Winter,Jan,315
201,2010,1,9,9,2010-01-09,84.0,-18,-9.0,1029.0,1.015623,NE,5.81,0,0,Winter,Jan,45
202,2010,1,9,10,2010-01-09,73.0,-17,-7.0,1029.0,1.015623,NE,11.62,0,0,Winter,Jan,45
203,2010,1,9,11,2010-01-09,66.0,-17,-6.0,1030.0,1.01661,NE,17.43,0,0,Winter,Jan,45
204,2010,1,9,12,2010-01-09,40.0,-16,-6.0,1029.0,1.015623,NE,23.24,0,0,Winter,Jan,45
205,2010,1,9,13,2010-01-09,49.0,-16,-5.0,1029.0,1.015623,NE,28.16,0,0,Winter,Jan,45
206,2010,1,9,14,2010-01-09,50.0,-15,-4.0,1029.0,1.015623,NE,33.08,0,0,Winter,Jan,45
207,2010,1,9,15,2010-01-09,49.0,-14,-4.0,1028.0,1.014636,NE,37.1,0,0,Winter,Jan,45
208,2010,1,9,16,2010-01-09,41.0,-15,-4.0,1029.0,1.015623,NE,38.89,0,0,Winter,Jan,45
209,2010,1,9,17,2010-01-09,37.0,-15,-4.0,1030.0,1.01661,NW,1.79,0,0,Winter,Jan,315
210,2010,1,9,18,2010-01-09,45.0,-15,-7.0,1030.0,1.01661,NE,3.13,0,0,Winter,Jan,45
211,2010,1,9,19,2010-01-09,44.0,-15,-6.0,1031.0,1.017597,NW,3.13,0,0,Winter,Jan,315
212,2010,1,9,20,2010-01-09,54.0,-15,-7.0,1032.0,1.018584,NW,4.92,0,0,Winter,Jan,315
213,2010,1,9,21,2010-01-09,50.0,-15,-6.0,1032.0,1.018584,NE,3.13,0,0,Winter,Jan,45
214,2010,1,9,22,2010-01-09,47.0,-15,-8.0,1033.0,1.019571,SW,0.45,0,0,Winter,Jan,225
215,2010,1,9,23,2010-01-09,66.0,-15,-8.0,1033.0,1.019571,SW,0.9,0,0,Winter,Jan,225
216,2010,1,10,0,2010-01-10,75.0,-15,-11.0,1033.0,1.019571,NW,0.89,0,0,Winter,Jan,315
217,2010,1,10,1,2010-01-10,82.0,-17,-13.0,1033.0,1.019571,NW,1.78,0,0,Winter,Jan,315
218,2010,1,10,2,2010-01-10,66.0,-17,-12.0,1033.0,1.019571,NW,4.91,0,0,Winter,Jan,315
219,2010,1,10,3,2010-01-10,83.0,-17,-13.0,1033.0,1.019571,NW,8.04,0,0,Winter,Jan,315
220,2010,1,10,4,2010-01-10,62.0,-19,-14.0,1032.0,1.018584,NW,9.83,0,0,Winter,Jan,315
221,2010,1,10,5,2010-01-10,40.0,-18,-13.0,1032.0,1.018584,NW,12.96,0,0,Winter,Jan,315
222,2010,1,10,6,2010-01-10,23.0,-19,-13.0,1032.0,1.018584,NW,16.09,0,0,Winter,Jan,315
223,2010,1,10,7,2010-01-10,25.0,-19,-14.0,1033.0,1.019571,NW,19.22,0,0,Winter,Jan,315
224,2010,1,10,8,2010-01-10,27.0,-19,-14.0,1034.0,1.020558,NW,22.35,0,0,Winter,Jan,315
225,2010,1,10,9,2010-01-10,35.0,-17,-12.0,1033.0,1.019571,NW,24.14,0,0,Winter,Jan,315
226,2010,1,10,10,2010-01-10,50.0,-16,-7.0,1033.0,1.019571,NE,4.02,0,0,Winter,Jan,45
